Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude,CO
01/08/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
01/09/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
01/10/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
01/11/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.0
01/12/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
01/13/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
01/14/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
01/15/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
01/16/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
01/17/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
01/18/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
01/19/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
01/20/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
01/21/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
01/22/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
01/23/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
01/24/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
01/25/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
01/26/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
01/27/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
01/28/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
01/29/2024,AQS,20900034,1,0.2,ppm,2,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.2
01/30/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
01/31/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
02/01/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
02/02/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
02/03/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
02/04/2024,AQS,20900034,1,1.1,ppm,13,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.1
02/05/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
02/06/2024,AQS,20900034,1,1.1,ppm,13,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.1
02/07/2024,AQS,20900034,1,1.4,ppm,16,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.4
02/08/2024,AQS,20900034,1,1.9,ppm,22,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.9
02/09/2024,AQS,20900034,1,1.9,ppm,22,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.9
02/10/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
02/11/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
02/12/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.0
02/13/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
02/14/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
02/15/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.0
02/16/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.0
02/17/2024,AQS,20900034,1,0.9,ppm,10,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.9
02/18/2024,AQS,20900034,1,1.0,ppm,11,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,1.0
02/19/2024,AQS,20900034,1,0.8,ppm,9,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.8
02/20/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
02/21/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
02/22/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
02/23/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
02/24/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
02/25/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
02/26/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
02/27/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
02/28/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
02/29/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/01/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/02/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/03/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/04/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
03/05/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
03/06/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
03/07/2024,AQS,20900034,1,0.3,ppm,3,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.3
03/08/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
03/09/2024,AQS,20900034,1,0.2,ppm,2,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.2
03/10/2024,AQS,20900034,1,0.2,ppm,2,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.2
03/11/2024,AQS,20900034,1,0.2,ppm,2,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.2
03/12/2024,AQS,20900034,1,0.3,ppm,3,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.3
03/13/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
03/14/2024,AQS,20900034,1,0.2,ppm,2,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.2
03/15/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
03/16/2024,AQS,20900034,1,0.3,ppm,3,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.3
03/17/2024,AQS,20900034,1,0.2,ppm,2,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.2
03/18/2024,AQS,20900034,1,0.3,ppm,3,NCORE,18,75.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.3
03/19/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/20/2024,AQS,20900034,1,0.6,ppm,7,NCORE,17,71.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/21/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
03/22/2024,AQS,20900034,1,0.7,ppm,8,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.7
03/23/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/24/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
03/25/2024,AQS,20900034,1,0.6,ppm,7,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.6
03/26/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
03/27/2024,AQS,20900034,1,0.5,ppm,6,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.5
03/28/2024,AQS,20900034,1,0.3,ppm,3,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.3
03/29/2024,AQS,20900034,1,0.3,ppm,3,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.3
03/30/2024,AQS,20900034,1,0.4,ppm,5,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.4
03/31/2024,AQS,20900034,1,0.3,ppm,3,NCORE,24,100.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.3
04/01/2024,AQS,20900034,1,0.1,ppm,1,NCORE,2,8.0,42101,Carbon monoxide,593,21820,"Fairbanks, AK",2,Alaska,90,Fairbanks North Star,64.84569,-147.727413,0.1
